"{'tonce': '30.12.2020 21:52', 'sellsPercent': 0.3809918969052036, 'buysPercent': 0.6190081030947965, 'sellsPercentDeals': 0.12239089184060721, 'buysPercentDeals': 0.8776091081593927, 'pairSell': 757.0, 'pairBuy': 756.02, 'sellsAmountDeals': 258.0, 'buysAmountDeals': 1850.0}"
"{'tonce': '30.12.2020 21:52', 'sellsPercent': 0.44976177490558467, 'buysPercent': 0.5502382250944153, 'sellsPercentDeals': 0.44807121661721067, 'buysPercentDeals': 0.5519287833827893, 'pairSell': 756.58, 'pairBuy': 756.12, 'sellsAmountDeals': 1510.0, 'buysAmountDeals': 1860.0}"
"{'tonce': '30.12.2020 21:52', 'sellsPercent': 0.45074976279856444, 'buysPercent': 0.5492502372014356, 'sellsPercentDeals': 0.46459412780656306, 'buysPercentDeals': 0.5354058721934369, 'pairSell': 755.91, 'pairBuy': 755.76, 'sellsAmountDeals': 1614.0, 'buysAmountDeals': 1860.0}"
"{'tonce': '30.12.2020 21:52', 'sellsPercent': 0.4434012031936371, 'buysPercent': 0.5565987968063629, 'sellsPercentDeals': 0.46459412780656306, 'buysPercentDeals': 0.5354058721934369, 'pairSell': 755.74, 'pairBuy': 755.58, 'sellsAmountDeals': 1614.0, 'buysAmountDeals': 1860.0}"
"{'tonce': '30.12.2020 21:52', 'sellsPercent': 0.4555300071395573, 'buysPercent': 0.5444699928604426, 'sellsPercentDeals': 0.41673161860223434, 'buysPercentDeals': 0.5832683813977656, 'pairSell': 755.91, 'pairBuy': 755.36, 'sellsAmountDeals': 1604.0, 'buysAmountDeals': 2245.0}"
"{'tonce': '30.12.2020 21:52', 'sellsPercent': 0.45193098208989396, 'buysPercent': 0.5480690179101061, 'sellsPercentDeals': 0.41673161860223434, 'buysPercentDeals': 0.5832683813977656, 'pairSell': 755.76, 'pairBuy': 755.47, 'sellsAmountDeals': 1604.0, 'buysAmountDeals': 2245.0}"
"{'tonce': '30.12.2020 21:53', 'sellsPercent': 0.41347333477664716, 'buysPercent': 0.5865266652233528, 'sellsPercentDeals': 0.41673161860223434, 'buysPercentDeals': 0.5832683813977656, 'pairSell': 755.9, 'pairBuy': 755.66, 'sellsAmountDeals': 1604.0, 'buysAmountDeals': 2245.0}"
"{'tonce': '30.12.2020 21:53', 'sellsPercent': 0.4465979276198254, 'buysPercent': 0.5534020723801746, 'sellsPercentDeals': 0.41627665106604267, 'buysPercentDeals': 0.5837233489339574, 'pairSell': 755.87, 'pairBuy': 755.81, 'sellsAmountDeals': 1601.0, 'buysAmountDeals': 2245.0}"
"{'tonce': '30.12.2020 21:53', 'sellsPercent': 0.45142560103963614, 'buysPercent': 0.5485743989603639, 'sellsPercentDeals': 0.41627665106604267, 'buysPercentDeals': 0.5837233489339574, 'pairSell': 755.64, 'pairBuy': 755.52, 'sellsAmountDeals': 1601.0, 'buysAmountDeals': 2245.0}"
"{'tonce': '30.12.2020 21:53', 'sellsPercent': 0.4351396718025805, 'buysPercent': 0.5648603281974195, 'sellsPercentDeals': 0.41627665106604267, 'buysPercentDeals': 0.5837233489339574, 'pairSell': 755.8, 'pairBuy': 755.52, 'sellsAmountDeals': 1601.0, 'buysAmountDeals': 2245.0}"
"{'tonce': '30.12.2020 21:53', 'sellsPercent': 0.45142560103963614, 'buysPercent': 0.5485743989603639, 'sellsPercentDeals': 0.4170345364840301, 'buysPercentDeals': 0.5829654635159699, 'pairSell': 754.83, 'pairBuy': 754.73, 'sellsAmountDeals': 1606.0, 'buysAmountDeals': 2245.0}"
